Individu;Sex;Mother;Birth;Littersize;Growth_rate;Body_mass_pre_hib;Torpor_numb;Deep_torpor_numb;Torpor_bout_duration;Deep_torpor_bout_duration;Inter_torpor_bout_duration;Inter_deep_torpor_bout_duration;Date_first_deep_torpor;Date_last_deep_torpor;Date_first_torpor;Date_last_torpor;Time_torpor;Time_inter_torpor;Time_inter_deep_torpor;Time_deep_torpor;Temperature_deep_torpor;Temperature_torpor;Hamster_location;Food_intake_hib;Body_mass_post_hib;Variation_mass_hibernation;Body_mass_pre_repro;Offspring_number;Offspring_per_litter;Mass_offspring_1week;Mass_offspring_5week;Offspring_growth_rate;Telomere_pre_hibernation;Telomere_post_hibernation;Telomere_post_reproduction;Delta_telomere_experiment;Cortisol_pre_hibernation;Cortisol_post_hibernation;Cortisol_post_reproduction;Mean_cortisol;Testosterone_pre_hibernation;Testosterone_post_hibernation;Testosterone_post_reproduction;Testis_lenght;Number_transition;Number_rearing;Number_grooming ;Time_latency;Body_mass_post reproduction;log_Mean_cortisol
19.163.11;M;316.3;148;6;11,56;239,98;16;15;55;58,2;45,7;45,7;297,078125;362,2421875;297,0770949;362,24;880;686;686;873;14,9;14,9;2;1418,14;472,75;232,77;476,9;8;8;16,6;201,91;11,16;0,89;0,92;0,91;0,02;4,66;6,91;14,9;8,823333333;0,66;2,42;1,94;17,4;66;28;0;23;416,4;0,945632687
19.163.13;F;316.3;148;6;7,91;198,43;18;16;53,3;59,13;40,1;41,4;302,1640625;367,4140625;299,1222338;367,41;960;681;621;946;14,8;14,9;4;844,35;240,06;41,63;241,6;13;7;16,75;198,79;10,87;0,79;0,87;0,98;0,19;20,47;5,77;5,81;10,68333333;;;;;42;11;0;15;312,7;1,028706779
19.163.5;M;316.3;89;9;7,62;239,7;9;9;47,1;47,1;75,4;75,4;300,0820313;342,8320313;300,0833449;342,83;424;603;603;424;14,8;14,8;2;1938,07;435,09;195,39;436,8;7;7;20,15;192,13;8,53;1,01;1,1;0,97;-0,04;;7,91;14,75;11,33;;3,27;1,19;17,2;71;21;0;11;437,7;
19.163.7;F;316.3;89;9;7;191,9;15;14;45;47,43;65,3;65,3;300,2109375;366,3789063;300,2125116;366,38;675;914;914;664;15;14,7;2;1082,09;247,26;55,36;244,5;9;5;21,85;216,16;8,89;;1,04;1,01;;;10,64;9,31;9,975;;;;;27;16;0;19;343,1;
19.165.11;M;316.5;155;10;10,36;215,69;13;10;44,3;54,9;65,5;67,7;301,3242188;355,78125;299,1159838;355,78;576;786;745;549;15,7;15,9;4;1287,93;396,25;180,56;401,3;12;6;23,25;207,5;7,92;0,94;1,28;1;0,06;14,04;10,27;13,87;12,72666667;0,57;1,91;0,91;18;59;26;0;17;410,1;1,104714669
19.165.4;M;316.5;102;5;8,48;272,15;8;6;47,9;59,33;73,6;69,4;313,9609375;343,2109375;311,1277894;348,5;383;515;347;356;14,1;14,5;1;1716,12;502,48;230,33;505,8;13;7;20,75;187,78;8,05;1,18;1,03;0,98;-0,2;4,73;6,6;23,47;11,6;0,49;0,89;1,04;22,6;56;19;34;16;537,6;1,064457989
19.165.5;F;316.5;102;5;6,04;235,1;14;10;42,9;58;54,7;57,6;299,375;352,9179688;298,3347338;352,92;601;711;691;580;14,8;14,9;1;1135,45;269,98;34,88;268,7;13;7;17,9;184,27;9,29;0,79;1,18;0,85;0,06;4,41;17,93;3,52;8,62;;;;;56;24;2;19;297,3;0,935507266
19.165.8;F;316.5;155;10;8,77;165,57;22;15;59,2;82,3;33;32,8;299,0703125;380,0703125;297,0298727;380,07;1302;693;656;1235;15,5;15,3;6;664,99;263,92;98,35;269,2;12;6;22,1;177,27;7,02;0,96;0,91;0,92;-0,03;7,17;20,7;8,46;12,11;;;;;27;12;0;13;271,7;1,083144143
19.167.1;F;316.7;97;6;7,41;164,52;22;16;58,9;77,06;44,4;27,3;308,0820313;378,25;304,9166782;397,71;1295;933;437;1233;14,5;14,8;6;948,4;260,9;96,38;;;;;;;1,24;1,14;0,85;-0,39;22,06;4,63;6,28;10,99;;;;;35;16;0;15;280,8;1,040997692
19.167.10;M;316.7;152;7;8,52;181,76;14;9;41,8;62;55,3;56,8;310,2851563;362,7421875;308,4500116;362,74;585;719;681;558;15,1;15,2;4;1405,96;445,98;264,22;459,4;;;;;;0,93;1,04;0,93;0,01;14,4;8,75;7,37;10,17333333;0,83;4,1;0,58;21,6;54;21;2;30;365,7;1,007463274
19.167.11;F;316.7;152;7;7,33;145,44;28;26;73,9;78,27;25,2;25;299,125;411,5390625;299,1236227;413,67;2070;681;650;2035;14,8;14,8;5;295,77;178,52;33,08;;;;;;;1,24;1,04;0,87;-0,38;65,08;6,4;8,78;26,75333333;;;;;38;21;2;44;189,3;1,427377901
19.167.5;M;316.7;97;6;8,59;192,47;17;12;59,4;80,08;43,9;33,08;306,2148438;363,1289063;297,3389005;368,59;1010;702;397;961;15;15,4;6;1430,45;421,05;228,58;425,8;;;;;;1,02;0,99;0,98;-0,04;;12,92;3,52;8,22;1,81;9,94;1,13;14,7;68;30;0;20;406,7;
19.351.1;M;535.1;87;6;10,69;203,61;6;4;38;82,5;50,3;67;330,2109375;349,7109375;300,3368171;349,71;532;654;402;330;14,3;15;4;1923,02;483,18;279,57;489,1;12;6;22,1;177,27;7,02;0,81;0,83;0,82;0,01;8,82;21,15;5,71;11,89333333;0,68;6,43;2,77;19,6;38;10;0;17;481,1;1,075303591
19.351.3;M;535.1;87;6;9,126788991;174,04;13;13;65,6;65,6;36,5;36,5;318,3359375;372,0859375;318,3354282;372,09;853;438;438;853;14;14;3;1692,14;437,02;262,98;;;;;;;0,95;0,81;0,71;-0,25;14,57;8,88;16,25;13,23333333;0,75;5,31;0,52;16,5;38;11;0;38;592,7;1,121669252
19.351.7;M;535.1;140;6;10,63;210,22;15;12;55,9;67,17;44,6;45,8;301,1601563;358,0351563;297,2014005;358,03;838;624;550;806;14,9;15,2;4;1577,12;445,83;235,61;452,5;9;5;21,85;216,16;8,89;0,92;0,78;0,81;-0,11;11,73;7,92;7,66;9,103333333;0,89;4,64;1,39;22,45;69;19;13;14;429;0,959200445
19.351.8;F;535.1;140;6;8,7;149,09;16;13;46,1;55,77;80,7;73;299,3710938;369,2460938;299,3715394;380,45;737;1210;949;725;14,9;14,7;3;1240,07;230,01;80,92;228,3;7;7;20,15;192,13;8,53;1,04;0,91;0,9;-0,14;16,2;12,61;3,57;10,79333333;;;;;61;27;3;19;294,6;1,03315559
19.356.11;M;535.6;166;7;7,85;163,25;15;14;86,7;92,5;32,1;32,1;305,28125;378,1132813;297;380;1300;449;449;1295;13,6;13,6;3;1048,41;346,35;183,1;351,9;10;5;18,8;190,72;9,14;1,22;0,97;1,08;-0,14;19,06;5,38;9,88;11,44;0,82;4,38;0,98;17,05;57;15;3;15;288,8;1,058426024
